Survived,PassengerId
0,892.0
1,893.0
1,894.0
0,895.0
1,896.0
0,897.0
1,898.0
0,899.0
0,900.0
0,901.0
0,902.0
0,903.0
1,904.0
0,905.0
1,906.0
1,907.0
0,908.0
0,909.0
0,910.0
1,911.0
1,912.0
0,913.0
1,914.0
1,915.0
1,916.0
0,917.0
1,918.0
0,919.0
1,920.0
0,921.0
0,922.0
0,923.0
0,924.0
0,925.0
1,926.0
0,927.0
1,928.0
0,929.0
0,930.0
1,931.0
1,932.0
1,933.0
0,934.0
1,935.0
1,936.0
0,937.0
0,938.0
0,939.0
1,940.0
1,941.0
1,942.0
0,943.0
1,944.0
1,945.0
0,946.0
0,947.0
0,948.0
0,949.0
0,950.0
1,951.0
0,952.0
0,953.0
0,954.0
0,955.0
1,956.0
1,957.0
0,958.0
0,959.0
1,960.0
1,961.0
0,962.0
0,963.0
1,964.0
1,965.0
1,966.0
0,967.0
0,968.0
1,969.0
0,970.0
0,971.0
1,972.0
0,973.0
0,974.0
0,975.0
0,976.0
0,977.0
0,978.0
0,979.0
1,980.0
0,981.0
1,982.0
0,983.0
1,984.0
0,985.0
0,986.0
0,987.0
1,988.0
0,989.0
1,990.0
0,991.0
1,992.0
0,993.0
0,994.0
0,995.0
0,996.0
0,997.0
0,998.0
0,999.0
0,1000.0
0,1001.0
0,1002.0
1,1003.0
1,1004.0
0,1005.0
1,1006.0
0,1007.0
0,1008.0
0,1009.0
1,1010.0
1,1011.0
1,1012.0
0,1013.0
1,1014.0
0,1015.0
0,1016.0
0,1017.0
0,1018.0
0,1019.0
0,1020.0
0,1021.0
0,1022.0
0,1023.0
0,1024.0
0,1025.0
0,1026.0
0,1027.0
0,1028.0
0,1029.0
0,1030.0
0,1031.0
0,1032.0
1,1033.0
1,1034.0
0,1035.0
0,1036.0
0,1037.0
0,1038.0
0,1039.0
1,1040.0
0,1041.0
1,1042.0
0,1043.0
0,1044.0
1,1045.0
0,1046.0
0,1047.0
1,1048.0
0,1049.0
0,1050.0
1,1051.0
1,1052.0
1,1053.0
1,1054.0
0,1055.0
0,1056.0
0,1057.0
0,1058.0
0,1059.0
1,1060.0
0,1061.0
0,1062.0
0,1063.0
0,1064.0
0,1065.0
0,1066.0
1,1067.0
1,1068.0
1,1069.0
1,1070.0
1,1071.0
0,1072.0
0,1073.0
1,1074.0
0,1075.0
1,1076.0
0,1077.0
1,1078.0
0,1079.0
0,1080.0
0,1081.0
0,1082.0
0,1083.0
1,1084.0
1,1085.0
0,1086.0
0,1087.0
0,1088.0
0,1089.0
0,1090.0
1,1091.0
0,1092.0
1,1093.0
1,1094.0
1,1095.0
0,1096.0
0,1097.0
1,1098.0
0,1099.0
1,1100.0
0,1101.0
0,1102.0
0,1103.0
0,1104.0
1,1105.0
0,1106.0
0,1107.0
1,1108.0
0,1109.0
1,1110.0
0,1111.0
1,1112.0
0,1113.0
0,1114.0
0,1115.0
1,1116.0
0,1117.0
0,1118.0
1,1119.0
0,1120.0
0,1121.0
0,1122.0
1,1123.0
0,1124.0
0,1125.0
1,1126.0
0,1127.0
1,1128.0
0,1129.0
1,1130.0
1,1131.0
1,1132.0
1,1133.0
0,1134.0
0,1135.0
0,1136.0
1,1137.0
1,1138.0
0,1139.0
1,1140.0
1,1141.0
1,1142.0
0,1143.0
1,1144.0
0,1145.0
0,1146.0
0,1147.0
0,1148.0
0,1149.0
1,1150.0
0,1151.0
0,1152.0
0,1153.0
1,1154.0
0,1155.0
0,1156.0
0,1157.0
0,1158.0
0,1159.0
1,1160.0
0,1161.0
1,1162.0
0,1163.0
1,1164.0
0,1165.0
0,1166.0
0,1167.0
0,1168.0
0,1169.0
0,1170.0
0,1171.0
0,1172.0
1,1173.0
1,1174.0
0,1175.0
0,1176.0
0,1177.0
0,1178.0
0,1179.0
0,1180.0
0,1181.0
1,1182.0
1,1183.0
0,1184.0
0,1185.0
0,1186.0
0,1187.0
1,1188.0
0,1189.0
0,1190.0
0,1191.0
0,1192.0
0,1193.0
1,1194.0
0,1195.0
1,1196.0
1,1197.0
1,1198.0
1,1199.0
0,1200.0
1,1201.0
0,1202.0
0,1203.0
0,1204.0
0,1205.0
1,1206.0
0,1207.0
0,1208.0
0,1209.0
0,1210.0
0,1211.0
0,1212.0
0,1213.0
0,1214.0
1,1215.0
1,1216.0
0,1217.0
1,1218.0
1,1219.0
0,1220.0
0,1221.0
1,1222.0
1,1223.0
0,1224.0
0,1225.0
0,1226.0
0,1227.0
0,1228.0
1,1229.0
0,1230.0
0,1231.0
0,1232.0
0,1233.0
0,1234.0
1,1235.0
0,1236.0
0,1237.0
0,1238.0
1,1239.0
0,1240.0
1,1241.0
1,1242.0
0,1243.0
0,1244.0
1,1245.0
0,1246.0
0,1247.0
1,1248.0
0,1249.0
0,1250.0
1,1251.0
0,1252.0
1,1253.0
1,1254.0
0,1255.0
1,1256.0
0,1257.0
0,1258.0
0,1259.0
1,1260.0
0,1261.0
0,1262.0
1,1263.0
0,1264.0
0,1265.0
1,1266.0
1,1267.0
0,1268.0
0,1269.0
0,1270.0
0,1271.0
0,1272.0
0,1273.0
1,1274.0
1,1275.0
0,1276.0
1,1277.0
0,1278.0
1,1279.0
0,1280.0
0,1281.0
0,1282.0
1,1283.0
1,1284.0
0,1285.0
0,1286.0
1,1287.0
0,1288.0
1,1289.0
0,1290.0
0,1291.0
1,1292.0
0,1293.0
1,1294.0
0,1295.0
0,1296.0
0,1297.0
0,1298.0
0,1299.0
1,1300.0
0,1301.0
1,1302.0
1,1303.0
0,1304.0
0,1305.0
1,1306.0
0,1307.0
0,1308.0
0,1309.0
0,
1,
0,
1,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
1,
0,
0,
1,
1,
1,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
1,
0,
0,
1,
1,
0,
1,
0,
1,
0,
0,
0,
1,
0,
1,
0,
0,
1,
1,
1,
0,
1,
0,
1,
0,
0,
1,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
1,
1,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
1,
0,
0,
0,
0,
1,
1,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
1,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
1,
0,
0,
0,
0,
1,
0,
0,
0,
0,
1,
0,
0,
0,
1,
1,
0,
0,
1,
1,
0,
1,
0,
1,
0,
0,
1,
0,
0,
0,
0,
0,
0,
1,
1,
1,
1,
0,
0,
1,
0,
0,
0,
1,
1,
0,
1,
0,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
1,
0,
1,
1,
0,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
1,
0,
1,
0,
0,
0,
1,
0,
0,
0,
1,
0,
1,
1,
0,
0,
1,
0,
0,
1,
0,
1,
1,
1,
1,
0,
0,
1,
0,
1,
0,
0,
0,
1,
1,
0,
0,
1,
1,
1,
1,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
1,
1,
0,
0,
0,
0,
0,
1,
1,
1,
0,
0,
0,
1,
0,
1,
1,
1,
0,
1,
1,
1,
1,
0,
0,
0,
1,
0,
1,
1,
0,
0,
1,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
0,
1,
0,
1,
1,
0,
1,
1,
1,
0,
1,
0,
1,
1,
1,
1,
0,
0,
0,
0,
0,
0,
0,
1,
1,
1,
1,
0,
0,
0,
0,
0,
0,
1,
1,
1,
1,
1,
0,
0,
1,
0,
1,
1,
0,
0,
0,
1,
0,
0,
1,
0,
0,
0,
1,
0,
1,
1,
0,
0,
1,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
0,
0,
0,
1,
0,
0,
0,
0,
1,
0,
0,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
1,
1,
0,
0,
1,
1,
0,
0,
1,
1,
0,
1,
1,
0,
1,
0,
0,
1,
0,
0,
1,
1,
1,
1,
1,
0,
1,
1,
0,
0,
1,
1,
1,
0,
1,
0,
0,
0,
0,
0,
0,
1,
0,
1,
0,
0,
1,
1,
